trade_date,cpi_mom,core_cpi_mom,spx_close,y10
2024-01-01,,,4845.65,3.99
2024-01-11,0.3,0.3,,
2024-02-01,,,5096.27,4.25
2024-02-13,0.3,0.4,,
2024-03-01,,,5254.35,4.2
2024-03-12,0.4,0.4,,
2024-04-01,,,5035.69,4.69
2024-04-10,0.4,0.4,,
2024-05-01,,,5277.51,4.51
2024-05-15,0.3,0.3,,
2024-06-01,,,5460.48,4.36
2024-06-12,0.0,0.2,,
2024-07-01,,,5522.3,4.09
2024-07-11,-0.1,0.1,,
2024-08-01,,,5648.4,3.91
2024-08-14,0.2,0.2,,
2024-09-01,,,5762.48,3.81
2024-09-11,0.2,0.3,,
2024-10-01,,,5705.45,4.28
2024-10-10,0.2,0.3,,
2024-11-01,,,6032.38,4.18
2024-11-13,0.2,0.3,,
2024-12-01,,,5881.63,4.58
2024-12-11,0.3,0.3,,
2025-01-01,,,6040.53,4.58
2025-01-15,0.4,0.2,,
2025-02-01,,,5954.5,4.24
2025-02-12,0.5,0.4,,
2025-03-01,,,5611.85,4.23
2025-03-12,0.2,0.2,,
2025-04-01,,,5569.06,4.17
2025-04-10,-0.1,0.1,,
2025-05-01,,,5911.69,4.41
2025-05-13,0.2,0.2,,
2025-06-01,,,6204.95,4.24
2025-06-11,0.1,0.1,,
2025-07-01,,,6339.39,4.37
2025-07-15,0.3,0.2,,
2025-08-01,,,6460.26,4.23
2025-08-12,0.2,0.3,,
2025-09-01,,,6688.46,4.16
2025-09-11,,,,
2025-10-01,,,6840.2,4.11
2025-11-01,,,6849.09,4.02
2025-12-01,,,6845.5,4.18
2026-01-01,,,6939.03,4.26
2026-02-01,,,6878.88,3.97
2026-03-01,,,6591.9,4.33
