year,population,aged_65_pct
2005,127773000,20.2818997821341
2006,127854000,20.9784589313141
2007,128001000,21.6266998258271
2008,128063000,22.2533796508458
2009,128047000,22.7624685083393
2010,128070000,23.0980258847984
2011,127833000,23.6527395093536
2012,127629000,24.5126783338024
2013,127445000,25.4120635790966
2014,127276000,26.2261883365166
2015,127141000,26.9230034152781
2016,127076000,27.5120281384821
2017,126972000,27.9778213758677
2018,126811000,28.3452163347643
2019,126633000,28.6287707536412
2020,126261000,28.9181743842737
2021,125681593,29.2169970691602
2022,125124989,29.4026473056942
2023,124516650,29.5618100807812
2024,123975371,29.7807703973917
